assetId,assetName,missingDataRate,1,2,3,4,5,6,7,81,82,83,9,10,11,12,13,14,Proximity to public transport infrastructure,Proximity of resources,Accessibility by car,Proximity to metropolitan center,Air quality,Safety of the area,Noise prevention (Peacefulness),Security of natural environment,"Security of technological, industrial and mining environment",Prestige of the building's location,Stability of competition,Attractiveness of neighbourhood,market,floorArea,propertyType,propertySubType,vintageModel,status,cause,version,external,ipc,streetNumber,street,zipCode,city,state,country,manualAddress,latitude,longitude,transactionType,value,transactionDate,year,floorVacancyRate,tenantStatus,nature,transactionShare,source,cartodb_id
id_11,"37-39 rue Georges Courteline, 69100 Villeurbanne",0,12,23,,41,51,61,73,811,821,831,92,102,112,,132,141,"4,293857296","4,820298441","3,880140245","4,097210565","4,602974758","4,93950742","3,922034451","6,611542328","7,206377332","5,361833164","3,99048","4,420329023",Lyon office market,3970,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,37-39,rue Georges Courteline,69100,Villeurbanne,,France,,45.779,4.8785,SALE,15 000 000,2021-12-01,2021,0,SINGLE_TENANT,TRANSACTION,,,
id_12,"79 cours Vitton, 69006 Lyon",0,12,,34,42,52,62,71,811,821,831,91,102,112,123,131,141,"5,123902704","5,393479394","3,711755037","4,460902209","4,581002038","4,226815801","2,931198113","6,675941453","7,224825994","5,459356032","3,99048","4,824394412",Lyon office market,5300,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,79,cours Vitton,69006,Lyon,,France,,45.77028,4.85973,SALE,52 000 000,2021-06-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_13,"78 rue Gustave Delory, 59810 Lesquin",0,12,,,41,52,,72,811,821,831,92,102,113,121,131,141,"3,627500687","3,775439072","2,890455022","3,328497298","4,763193068","5,732177541","2,115167056","6,53287823","7,141044955","5,128350756","3,99048","4,331817242",Lille office market,3630,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,78,rue Gustave Delory,59810,Lesquin,,France,,50.58858,3.0961,SALE,4 400 000,2021-01-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_14,"10 rue Héloïse, 59491 Villeneuve-d'Ascq",0,12,23,34,41,52,61,,811,821,831,93,102,112,121,131,141,"3,702514786","3,866566456","2,381061169","3,408290607","4,762767165","5,706548297","1,198432423","6,506559096","7,141958175","5,157795188","3,99048","4,348485246",Lille office market,1691,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,10,rue Héloïse,59491,Villeneuve-d'Ascq,,France,,50.67071,3.1383,SALE,3 600 000,2021-03-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_15,"100 boulevard Carnot, 59000 Lille",0,13,23,34,42,52,63,72,811,821,831,91,102,111,123,132,141,"5,111838393","4,568697327","4,063075338","4,05272378","4,136611743","3,098749979","3,01836404","6,172852521","7,392446569","6,141276861","3,99048","3,903857466",Lille office market,8882,OFFICES,TOUR_IGH,O2019,ACTUAL,INITIAL,V0,Internal,,100,boulevard Carnot,59000,Lille,,France,,50.64163,3.07134,SALE,42 000 000,2021-03-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_16,"46-48 rue des Canonniers, 59000 Lille",0,12,,33,41,52,62,71,811,821,831,91,102,111,122,131,141,"4,729105826","4,768228053","4,518558936","4,009169562","4,545202529","4,877071891","4,777134796","6,642626486","7,202849846","5,291402887","3,99048","4,633757674",Lille office market,4700,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,46-48,rue des Canonniers,59000,Lille,,France,,50.64082,3.06884,SALE,20 000 000,2021-10-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_17,"34 boulevard Jean-Baptiste Lebas, 59000 Lille",0,12,,34,42,51,61,72,813,822,832,91,102,111,123,131,141,"5,349790402","4,667173112","4,081822678","4,045179949","4,122554079","3,087448587","2,991370682","6,178003621","7,393185","6,133814183","3,99048","3,9219323",Lille office market,8000,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,34,boulevard Jean-Baptiste Lebas,59000,Lille,,France,,50.62655,3.06826,SALE,36 000 000,2021-10-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_18,"45 rue Charles Marionneau, 33000 Bordeaux",0,12,21,35,41,52,,,811,821,831,92,102,111,,131,141,"5,251779684","5,116008656","3,471276185","4,549179142","4,297493866","4,892866367","2,95951832","6,505629641","7,296495558","5,643608942","3,99048","4,620262909",Bordeaux office market,2762,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,45,rue Charles Marionneau,33000,Bordeaux,,France,,44.84037,-0.58638,SALE,12 500 000,2021-03-01,2021,0,MULTI_TENANT,TRANSACTION,,,
id_19,"6 avenue Charles Lindbergh, 33700 Mérignac",0,12,,34,41,52,61,72,811,821,831,92,102,112,121,131,141,"3,536525826","4,135055021","4,022550074","3,501893935","4,905067651","5,231963073","3,966405129","6,682434361","7,164567382","5,235139086","3,99048","4,188820847",Bordeaux office market,2800,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,6,avenue Charles Lindbergh,33700,Mérignac,,France,,44.83668,-0.6923,SALE,8 040 000,2021-03-01,2021,0,SINGLE_TENANT,TRANSACTION,,,
id_20,"5 rue de Condé, 33000 Bordeaux",0,11,,31,41,51,62,71,811,821,831,93,102,111,122,131,141,"5,952137834","5,312473262","4,111086914","4,591029102","4,217674568","4,441394771","3,792932953","6,578579606","7,272236968","5,532590711","3,99048","5,024759823",Bordeaux office market,1845,OFFICES,HAUSSMANNIEN,O2019,ACTUAL,INITIAL,V0,Internal,,5,rue de Condé,33000,Bordeaux,,France,,44.84341,-0.57329,SALE,7 873 441,2021-06-01,2021,0,MULTI_TENANT,TRANSACTION,,,
